id,created_at,text
1287704912231636996,2020-07-27 11:02:30,"BOM DIA

🇧🇷 8h25 Relatório Focus
🇺🇸 9h30 Núcleo de pedidos de bens duráveis mensal 
💻 12h Live Bem-vindo ao TC
🇺🇸 Congresso deve apresentar novo pacote de US$1TRI em estímulos 
🇧🇷 Importações de soja brasileira batem recorde pela China 
📈 S&amp;P +0,49%

Bons trades!"
1287549023671508994,2020-07-27 00:43:03,@thiagoaoliveira @cidadejardim Adoro! 👏👏
1287536571290464258,2020-07-26 23:53:34,@Collor @Contrariado3 @cafecomferri 👏👏👏👏
1287524680660914176,2020-07-26 23:06:19,@otraderloco @sampaio19091 Combinaram o vinho? Só erraram a uva!
1287523145302376448,2020-07-26 23:00:13,@sampaio19091 Muito bom 👏👏👏👏
1287522437308063745,2020-07-26 22:57:24,RT @isabelablima: @cafecomferri Ouvi bancos week? 👀
1287522358706737152,2020-07-26 22:57:05,@chaositsfair @cafecomferri Sobra?
1287522266322997248,2020-07-26 22:56:43,@sampaio19091 Cadê o wine of the day?
1287522190603190273,2020-07-26 22:56:25,@Dgermanovix Aprendiz de Ferri
1287522114870935553,2020-07-26 22:56:07,"@otraderloco @cafecomferri Você é um cara casado agora, não pode mais"
1287520265799372802,2020-07-26 22:48:46,@cafecomferri Ouvi bancos week? 👀
1287519484211793922,2020-07-26 22:45:40,@moises_beida @mustekoo Mandei inbox! 🤗
1287516684983701504,2020-07-26 22:34:33,"Existe uma frase de um médico que nunca sai de moda: 

Trabalhe, sirva, seja forte e não encha o saco!"
1287515036546736129,2020-07-26 22:28:00,@cafecomferri CHEGAAAA FERRI
1287514300169543684,2020-07-26 22:25:04,@omarajame https://t.co/Z5UE07TmyL
1287513060043902978,2020-07-26 22:20:09,"@luizsouza71 @lnunesjr @filipesabara Política e ações sociais são extremamente complementares. Uma pena que alguns políticos acabam tirando proveito disso. Mas existem raras excessões, está na hora de você ser mais mente aberta e não generalizar!"
1287512110595964930,2020-07-26 22:16:22,@pedromdrsantos @hbredda https://t.co/PJ6Ws9TyJb
1287510649430593537,2020-07-26 22:10:34,@luizsouza71 @lnunesjr @filipesabara Você nao gosta de ações sociais? De ajudar as pessoas? Entendi.
1287491004543770634,2020-07-26 20:52:30,@Tatobarros @PoneyInvestidor @FerraoMauricio @tcmemesbr @tradersclubbr Esse poney deve ser personal stylist
1287490721264685064,2020-07-26 20:51:23,@FerraoMauricio @Tatobarros @tcmemesbr @tradersclubbr Aakakakakakakakakaa
1287489885415321603,2020-07-26 20:48:03,"@asc_santosc @cafecomferri Sim, mandei inbox! Cupom + alguns benefícios 😍"
